Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,Duration,Utterance_Length
25,Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,neutral,2,1,3,6,1900-01-01 00:05:52.435,1900-01-01 00:05:53.897,1.462,7
27,Chris says theyre closing down the bar.,Monica,sadness,negative,2,3,3,6,1900-01-01 00:05:57.023,1900-01-01 00:05:58.734,1.711,7
29,"Yeah, apparently theyre turning it into some kinda coffee place.",Monica,neutral,neutral,2,5,3,6,1900-01-01 00:05:59.942,1900-01-01 00:06:02.152,2.21,10
30,Just coffee! Where are we gonna hang out now?,Chandler,disgust,negative,2,6,3,6,1900-01-01 00:06:02.362,1900-01-01 00:06:07.157,4.795,9
33,"Hey, did you pick a roommate?",Monica,neutral,neutral,2,9,3,6,1900-01-01 00:06:08.035,1900-01-01 00:06:10.019,1.984,6
35,Is it the Italian guy?,Monica,neutral,neutral,2,11,3,6,1900-01-01 00:06:10.973,1900-01-01 00:06:12.167,1.194,5
37,"Oh my God, oh my God! Poor Monica!",Phoebe,surprise,negative,3,0,3,12,1900-01-01 00:10:16.115,1900-01-01 00:10:18.450,2.335,8
40,He was with her when he wrote this poem.,Phoebe,neutral,neutral,3,3,3,12,1900-01-01 00:10:21.078,1900-01-01 00:10:23.496,2.418,9
41,"Look,  'My vessel so empty with nothing inside.",Phoebe,neutral,neutral,3,4,3,12,1900-01-01 00:10:23.664,1900-01-01 00:10:26.499,2.835,8
42,"Now that I've touched you, you seem emptier still.'",Phoebe,neutral,neutral,3,5,3,12,1900-01-01 00:10:26.667,1900-01-01 00:10:29.586,2.919,9
43,"He thinks Monica is empty, she is the empty vase!",Phoebe,surprise,negative,3,6,3,12,1900-01-01 00:10:29.754,1900-01-01 00:10:32.672,2.918,10
45,"Oh, totally. Oh, God, oh, she seemed so happy too.",Phoebe,sadness,negative,3,8,3,12,1900-01-01 00:10:36.385,1900-01-01 00:10:39.137,2.752,10
49,What are you doing here?,Rachel,surprise,positive,4,2,3,11,1900-01-01 00:20:25.140,1900-01-01 00:20:26.265,1.125,5
50,"Ah y'know, this building is on my paper route so I...",Ross,neutral,neutral,4,3,3,11,1900-01-01 00:20:26.433,1900-01-01 00:20:29.185,2.752,11
54,Howd did it go?,Ross,neutral,neutral,4,7,3,11,1900-01-01 00:20:31.188,1900-01-01 00:20:32.230,1.042,4
55,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldnt shut up.",Rachel,joy,positive,4,8,3,11,1900-01-01 00:20:32.397,1900-01-01 00:20:40.446,8.049,34
56,Im so proud of you.,Ross,joy,positive,4,9,3,11,1900-01-01 00:20:40.614,1900-01-01 00:20:41.991,1.377,5
58,"Listen, Im ah, Im sorry Ive been so crazy and jealous and, its just that I like you a lot, so...",Ross,sadness,negative,4,11,3,11,1900-01-01 00:20:44.284,1900-01-01 00:20:53.584,9.3,21
64,Ameri-can. Y'know its a,Phoebe,neutral,neutral,5,2,3,15,1900-01-01 00:22:20.589,1900-01-01 00:22:23.507,2.918,4
66,Good job Joe! Well done! Top notch!,Chandler,joy,positive,6,0,8,22,1900-01-01 00:12:24.315,1900-01-01 00:12:27.526,3.211,7
67,You liked it? You really liked it?,Joey,surprise,positive,6,1,8,22,1900-01-01 00:12:28.194,1900-01-01 00:12:29.796,1.602,7
70,The whole thing! Can we go?,Chandler,neutral,neutral,6,4,8,22,1900-01-01 00:12:33.657,1900-01-01 00:12:36.243,2.586,6
71,"Oh no-no-no, give me some specifics.",Joey,anger,negative,6,5,8,22,1900-01-01 00:12:36.368,1900-01-01 00:12:38.746,2.378,6
72,"I love the specifics, the specifics were the best part!",Chandler,joy,positive,6,6,8,22,1900-01-01 00:12:38.954,1900-01-01 00:12:43.000,4.046,10
73,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,neutral,neutral,6,7,8,22,1900-01-01 00:12:43.209,1900-01-01 00:12:48.255,5.046,13
74,I was surprised to see a kangaroo in a World War I epic.,Chandler,surprise,negative,6,8,8,22,1900-01-01 00:12:49.298,1900-01-01 00:12:54.929,5.631,13
76,There was no kangaroo!,Joey,anger,negative,6,10,8,22,1900-01-01 00:12:58.432,1900-01-01 00:12:59.809,1.377,4
77,They didnt take any of my suggestions!,Joey,anger,negative,6,11,8,22,1900-01-01 00:12:59.809,1900-01-01 00:13:03.196,3.387,7
78,Thats for coming buddy.,Joey,neutral,neutral,6,12,8,22,1900-01-01 00:13:05.940,1900-01-01 00:13:07.242,1.302,4
84,This guy fell asleep!,Chandler,anger,negative,6,18,8,22,1900-01-01 00:13:11.407,1900-01-01 00:13:12.589,1.182,4
87,"Or, call an ambulance.",Chandler,anger,negative,6,21,8,22,1900-01-01 00:13:16.367,1900-01-01 00:13:18.244,1.877,4
88,"Okay, look, I think we have to tell Rachel she messed up her dessert.",Joey,neutral,neutral,7,0,6,9,1900-01-01 00:12:51.020,1900-01-01 00:12:53.897,2.877,14
89,"What?! What is with everybody? Its Thanksgiving, not...Truth-Day!",Ross,anger,negative,7,1,6,9,1900-01-01 00:12:54.106,1900-01-01 00:12:58.193,4.087,8
90,"Yes, and it is my dying wish to have that ring.",Phoebe,neutral,neutral,8,0,6,23,1900-01-01 00:19:17.865,1900-01-01 00:19:21.951,4.086,11
91,"See, if Im not buried with that ring then my spirit is going to wander the nether world for all eternity",Phoebe,neutral,neutral,8,1,6,23,1900-01-01 00:19:17.865,1900-01-01 00:19:25.204,7.339,21
92,"Okay, thats enough honey!",Chandler,neutral,neutral,8,2,6,23,1900-01-01 00:19:25.372,1900-01-01 00:19:26.706,1.334,4
93,I dont know.  Let me see the ring.,Customer,neutral,neutral,8,3,6,23,1900-01-01 00:19:28.375,1900-01-01 00:19:34.964,6.589,8
97,What've you been up to?,Chandler,neutral,neutral,9,0,2,5,1900-01-01 00:01:51.903,1900-01-01 00:01:54.738,2.835,5
98,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,neutral,neutral,9,1,2,5,1900-01-01 00:01:54.948,1900-01-01 00:02:01.203,6.255,11
99,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,neutral,neutral,9,2,2,5,1900-01-01 00:02:01.621,1900-01-01 00:02:07.459,5.838,17
100,Can you hold on a moment? I have another call.  I love her.,Chandler,joy,positive,9,3,2,5,1900-01-01 00:02:10.547,1900-01-01 00:02:14.758,4.211,13
103,"So, are we gonna get together or what?",Jade,neutral,neutral,9,6,2,5,1900-01-01 00:02:16.903,1900-01-01 00:02:19.185,2.282,8
104,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Chandler,neutral,neutral,9,7,2,5,1900-01-01 00:02:19.347,1900-01-01 00:02:25.561,6.214,18
105,"Great, I'll see you then.",Jade,neutral,neutral,9,8,2,5,1900-01-01 00:02:25.770,1900-01-01 00:02:28.647,2.877,5
106,Ok.  Ok. Having a phone has finally paid off.,Chandler,joy,positive,9,9,2,5,1900-01-01 00:02:32.318,1900-01-01 00:02:34.528,2.21,9
107,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",Ross,neutral,neutral,9,10,2,5,1900-01-01 00:02:36.823,1900-01-01 00:02:43.620,6.797,24
108,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,neutral,neutral,9,11,2,5,1900-01-01 00:02:47.375,1900-01-01 00:02:52.337,4.962,24
109,Oh my god. You are pure evil.,Ross,disgust,negative,9,12,2,5,1900-01-01 00:02:52.547,1900-01-01 00:02:55.299,2.752,7
110,"Ok, pure evil , horny and alone . I've done this",Chandler,anger,negative,9,13,2,5,1900-01-01 00:02:56.634,1900-01-01 00:03:05.058,8.424,11
112,Nobody respects the bucket!,Phoebe,anger,negative,10,1,5,10,1900-01-01 00:11:58.551,1900-01-01 00:11:59.947,1.396,4
113,You wouldn't believe what people put in here!,Phoebe,anger,negative,10,2,5,10,1900-01-01 00:12:00.553,1900-01-01 00:12:02.721,2.168,8
115,"Okay, does this look like a garbage can to you?",Phoebe,anger,negative,10,4,5,10,1900-01-01 00:12:02.888,1900-01-01 00:12:07.016,4.128,10
117,This is my wedding.,Ross,neutral,neutral,11,0,4,23,1900-01-01 00:03:10.815,1900-01-01 00:03:12.024,1.209,4
118,"All right, yknow what? We really are late! Lets go! Lets go! Lets go!!",Monica,anger,negative,11,1,4,23,1900-01-01 00:03:13.318,1900-01-01 00:03:16.737,3.419,14
119,Fine. Youll-youll watch it on video when we get back.,Ross,neutral,neutral,11,2,4,23,1900-01-01 00:03:18.781,1900-01-01 00:03:21.491,2.71,10
120,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,Chandler,joy,positive,11,3,4,23,1900-01-01 00:03:22.869,1900-01-01 00:03:25.704,2.835,10
123,"All right, lets go! Bye, Pheebs!",Ross,joy,positive,11,6,4,23,1900-01-01 00:03:32.503,1900-01-01 00:03:34.463,1.96,6
126,"Oh, do you need a hug? You dont have to bring me anything!",Phoebe,joy,positive,11,9,4,23,1900-01-01 00:03:44.849,1900-01-01 00:03:51.563,6.714,13
128,Hey! So Estelle lined up a bunch of auditions for me tomorrow and Ill have my health insurance back in no time.,Joey,joy,positive,12,1,6,4,1900-01-01 00:09:47.295,1900-01-01 00:09:56.177,8.882,22
129,"Thats great, but shouldnt you be on the toilet right now?",Chandler,disgust,negative,12,2,6,4,1900-01-01 00:09:57.346,1900-01-01 00:10:00.890,3.544,11
131,Whats wrong with you?,Chandler,disgust,negative,12,4,6,4,1900-01-01 00:10:05.647,1900-01-01 00:10:06.929,1.282,4
133,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, havent been able to stand up since.",Joey,fear,negative,12,6,6,4,1900-01-01 00:10:08.190,1900-01-01 00:10:18.575,10.385,29
134,"But um, I dont think its anything serious.",Joey,neutral,neutral,12,7,6,4,1900-01-01 00:10:18.743,1900-01-01 00:10:21.536,2.793,8
135,This sounds like a hernia. You have toyou-you go to the doctor!,Chandler,surprise,negative,12,8,6,4,1900-01-01 00:10:21.704,1900-01-01 00:10:24.706,3.002,12
136,"No way! Kay look, if I have to go to the doctor for anything its gonna be for this thing sticking out of my stomach!",Joey,fear,negative,12,9,6,4,1900-01-01 00:10:24.874,1900-01-01 00:10:31.463,6.589,25
138,Why did I have to start working out again?  Damn you 15s!,Joey,anger,negative,12,11,6,4,1900-01-01 00:10:36.177,1900-01-01 00:10:41.556,5.379,12
139,I love your place! Where is this guy from?,Mona,joy,positive,13,0,8,8,1900-01-01 00:10:36.844,1900-01-01 00:10:40.930,4.086,9
140,Uh thats an eighteenth century Indian artifact from Calcutta.,Ross,neutral,neutral,13,1,8,8,1900-01-01 00:10:41.098,1900-01-01 00:10:50.899,9.801,9
141,"Oh wow! So, youre more than just dinosaurs.",Mona,surprise,positive,13,2,8,8,1900-01-01 00:10:44.894,1900-01-01 00:10:50.899,6.005,8
143,"Well, well to sum up, were having fun, you look young.",Ross,neutral,neutral,14,0,8,11,1900-01-01 00:13:42.112,1900-01-01 00:13:53.456,11.344,11
145,But thats not enough. So Soheres a key to my apartment.,Ross,neutral,neutral,14,2,8,11,1900-01-01 00:13:57.253,1900-01-01 00:14:06.135,8.882,12
148,You dont think this is too fast.,Mona,neutral,neutral,14,5,8,11,1900-01-01 00:14:16.897,1900-01-01 00:14:20.316,3.419,7
150,"Ross, can I talk to you for a minute?",Charlie,neutral,neutral,15,1,9,23,1900-01-01 00:42:15.032,1900-01-01 00:42:16.908,1.876,9
151,"Yes, please!  So, what's going on?",Ross,neutral,neutral,15,2,9,23,1900-01-01 00:42:17.117,1900-01-01 00:42:23.998,6.881,6
152,"Uh, well... Joey and I broke up.",Charlie,sadness,negative,15,3,9,23,1900-01-01 00:42:26.126,1900-01-01 00:42:29.754,3.628,7
153,"Oh my God, wh-what happened?",Ross,surprise,negative,15,4,9,23,1900-01-01 00:42:30.464,1900-01-01 00:42:35.885,5.421,5
154,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",Charlie,sadness,negative,15,5,9,23,1900-01-01 00:42:36.053,1900-01-01 00:42:44.561,8.508,21
155,I knew that was him!,Ross,anger,negative,15,6,9,23,1900-01-01 00:42:42.059,1900-01-01 00:42:44.561,2.502,5
156,"Anyway I just, uh, I think it's for the best.",Charlie,sadness,negative,15,7,9,23,1900-01-01 00:42:46.313,1900-01-01 00:42:50.108,3.795,10
159,There was hum...  there was another reason that I thought it was time to end it with Joey.,Charlie,neutral,neutral,15,10,9,23,1900-01-01 00:42:57.866,1900-01-01 00:43:05.915,8.049,18
160,I started to realize that I was having feelings for someone  else.,Charlie,neutral,neutral,15,11,9,23,1900-01-01 00:43:06.667,1900-01-01 00:43:12.547,5.88,12
161,"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",Paleontologist,neutral,neutral,15,12,9,23,1900-01-01 00:43:14.174,1900-01-01 00:43:19.220,5.046,15
162,"Oh, professor Clerk we're kind of in the middle of a conversation, here.",Ross,neutral,neutral,15,13,9,23,1900-01-01 00:43:19.388,1900-01-01 00:43:22.765,3.377,13
163,"Yeah, can you guys just throw him in the pool later?",Charlie,neutral,neutral,15,14,9,23,1900-01-01 00:43:22.933,1900-01-01 00:43:24.905,1.972,11
164,Or we could throw you both in,Professore Clerk,joy,positive,15,15,9,23,1900-01-01 00:43:24.905,1900-01-01 00:43:27.073,2.168,7
167,Aren't we a little old for this?,Ross,anger,negative,15,18,9,23,1900-01-01 00:43:28.699,1900-01-01 00:43:30.985,2.286,7
168,"I mean, we're scientists, right?",Ross,neutral,neutral,15,19,9,23,1900-01-01 00:43:31.066,1900-01-01 00:43:32.788,1.722,5
170,And most importantly I... you-you will have to catch us first.,Ross,joy,positive,15,21,9,23,1900-01-01 00:43:33.902,1900-01-01 00:43:37.780,3.878,11
174,"Oh yeah, now everybody wants to be under this hat!",Rachel,joy,positive,16,1,3,25,1900-01-01 00:04:42.407,1900-01-01 00:04:44.574,2.167,10
176,Whats with all this sand?,Monica,surprise,negative,16,3,3,25,1900-01-01 00:04:52.333,1900-01-01 00:04:54.001,1.668,5
177,"Oh, yeah, Bob said there might be flood damage.",Phoebe,neutral,neutral,16,4,3,25,1900-01-01 00:04:54.168,1900-01-01 00:04:56.795,2.627,9
178,"Yeah, either that, or he has a really big cat.",Ross,neutral,neutral,16,5,3,25,1900-01-01 00:04:57.005,1900-01-01 00:04:59.214,2.209,10
179,"Okay, see that blind guy right there? I'm gonna bash his head in later.",Joey,anger,negative,17,0,5,19,1900-01-01 00:06:15.416,1900-01-01 00:06:19.127,3.711,14
180,"Oh umm, my big scene is coming up. Big scene coming up.",Joey,joy,positive,17,1,5,19,1900-01-01 00:06:21.506,1900-01-01 00:06:25.542,4.036,12
181,"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",Chandler,neutral,neutral,17,2,5,19,1900-01-01 00:06:25.551,1900-01-01 00:06:29.012,3.461,13
182,Rach? What are you doing?,Monica,neutral,neutral,17,3,5,19,1900-01-01 00:06:32.183,1900-01-01 00:06:33.517,1.334,5
183,"Oh boy, I just can't watch. It's too scary!",Rachel,fear,negative,17,4,5,19,1900-01-01 00:06:33.976,1900-01-01 00:06:37.020,3.044,9
184,It's a diaper commercial.,Monica,neutral,neutral,17,5,5,19,1900-01-01 00:06:37.480,1900-01-01 00:06:39.731,2.251,4
185,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",Rachel,fear,negative,17,6,5,19,1900-01-01 00:06:40.817,1900-01-01 00:06:43.735,2.918,9
187,I'll get it! I will get that!,Ross,joy,positive,17,8,5,19,1900-01-01 00:06:49.793,1900-01-01 00:06:50.887,1.094,7
190,"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",Ross,neutral,neutral,18,0,5,21,1900-01-01 00:05:05.096,1900-01-01 00:05:09.474,4.378,24
191,"Uhh, the ball thing.",Joey,neutral,neutral,18,1,5,21,1900-01-01 00:05:09.642,1900-01-01 00:05:11.603,1.961,4
193,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",Joey,joy,positive,18,3,5,21,1900-01-01 00:05:14.022,1900-01-01 00:05:19.109,5.087,16
198,I have to pee. And Rachel's in the bathroom!,Joey,sadness,negative,18,8,5,21,1900-01-01 00:05:30.330,1900-01-01 00:05:34.166,3.836,9
199,"Man, I didn't think we were gonna make it!",Joey,surprise,positive,18,9,5,21,1900-01-01 00:05:39.047,1900-01-01 00:05:41.548,2.501,9
200,"I know!  Don't switch hands, okay?",Ross,fear,negative,18,10,5,21,1900-01-01 00:05:42.383,1900-01-01 00:05:45.969,3.586,6
203,How did it go with Erin?,Rachel,neutral,neutral,20,0,7,7,1900-01-01 00:10:56.155,1900-01-01 00:10:59.157,3.002,6
204,"Oh, unbelievable! We had the best time!",Joey,joy,positive,20,1,7,7,1900-01-01 00:10:59.408,1900-01-01 00:11:01.368,1.96,7
205,"Yay!! Oh so, youre not, youre not mad at us anymore?",Phoebe,joy,positive,20,2,7,7,1900-01-01 00:11:01.535,1900-01-01 00:11:06.164,4.629,11
210,This is so much better than the first time we went out.,Joey,joy,positive,20,7,7,7,1900-01-01 00:11:06.374,1900-01-01 00:11:08.625,2.251,12
212,"That was so awkward, we were really nervous.",Joey,neutral,neutral,20,9,7,7,1900-01-01 00:11:08.834,1900-01-01 00:11:11.378,2.544,8
213,Didnt you sleep together?,Phoebe,neutral,neutral,20,10,7,7,1900-01-01 00:11:11.629,1900-01-01 00:11:12.811,1.182,4
214,"Yeah, that really calms me down.",Joey,neutral,neutral,20,11,7,7,1900-01-01 00:11:12.811,1900-01-01 00:11:14.723,1.912,6
217,"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well thats a",Joey,joy,positive,20,14,7,7,1900-01-01 00:11:18.928,1900-01-01 00:11:31.356,12.428,27
218,"Oh my God! Listen to you talkin about having kids. Oh my Joey.  Oh, please dont get married before I do.",Rachel,surprise,positive,20,15,7,7,1900-01-01 00:11:27.228,1900-01-01 00:11:37.862,10.634,21
220,How does she do that?,Monica,surprise,negative,21,0,1,4,1900-01-01 00:01:49.275,1900-01-01 00:01:51.485,2.21,5
221,I cannot sleep in a public place.,Ross,neutral,neutral,21,1,1,4,1900-01-01 00:01:51.653,1900-01-01 00:01:54.822,3.169,7
222,Would you look at her? She is so peaceful.,Monica,joy,positive,21,2,1,4,1900-01-01 00:01:54.989,1900-01-01 00:02:00.994,6.005,9
223,Oh! What what what! ...Hi.,Phoebe,surprise,positive,21,3,1,4,1900-01-01 00:02:01.162,1900-01-01 00:02:03.622,2.46,5
224,"It's okay, y'know, you just nodded off again.",Ross,neutral,neutral,21,4,1,4,1900-01-01 00:02:03.790,1900-01-01 00:02:05.958,2.168,8
225,What's going on with you?,Monica,surprise,positive,21,5,1,4,1900-01-01 00:02:06.126,1900-01-01 00:02:08.127,2.001,5
226,I got no sleep last night!,Phoebe,anger,negative,21,6,1,4,1900-01-01 00:02:08.294,1900-01-01 00:02:09.587,1.293,6
228,"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",Phoebe,disgust,negative,21,8,1,4,1900-01-01 00:02:10.088,1900-01-01 00:02:17.177,7.089,14
230,"So they're constantly, like, having to reassure each other that they're having a good time.",Phoebe,neutral,neutral,21,10,1,4,1900-01-01 00:02:20.682,1900-01-01 00:02:24.726,4.044,15
231,You have no idea how loud they are!,Phoebe,disgust,negative,21,11,1,4,1900-01-01 00:02:24.894,1900-01-01 00:02:26.937,2.043,8
232,"Well, if you want, you can stay with Rachel and me tonight.",Monica,neutral,neutral,21,12,1,4,1900-01-01 00:02:29.023,1900-01-01 00:02:30.900,1.877,12
234,Ew! What is that? Something exploded!,Joey,disgust,negative,22,0,1,23,1900-01-01 00:09:00.248,1900-01-01 00:09:03.667,3.419,6
235,"It's just her water breaking. Calm down, will you?",Nurse,neutral,neutral,22,1,1,23,1900-01-01 00:09:03.834,1900-01-01 00:09:06.169,2.335,9
236,"Water breaking, what do you mean? What's that, water breaking?",Joey,surprise,negative,22,2,1,23,1900-01-01 00:09:06.337,1900-01-01 00:09:09.714,3.377,10
238,"Are you insane? I mean Joey, is going to kill you, hes actually going to kill you dead.",Monica,surprise,negative,23,0,3,11,1900-01-01 00:10:13.321,1900-01-01 00:10:19.909,6.588,18
239,Okay! You dont think I thought of that?,Chandler,anger,negative,23,1,3,11,1900-01-01 00:10:17.825,1900-01-01 00:10:19.909,2.084,8
240,How can you not know which one?,Phoebe,surprise,negative,23,2,3,11,1900-01-01 00:10:20.870,1900-01-01 00:10:22.422,1.552,7
241,I mean thats unbelievable.,Rachel,joy,positive,23,3,3,11,1900-01-01 00:10:22.422,1900-01-01 00:10:23.751,1.329,4
243,Which one is Gina?,Ross,neutral,neutral,23,5,3,11,1900-01-01 00:10:24.873,1900-01-01 00:10:25.937,1.064,4
244,"Dark, big hair, with the airplane earrings.",Rachel,neutral,neutral,23,6,3,11,1900-01-01 00:10:26.042,1900-01-01 00:10:28.209,2.167,7
245,"No, no, no, thats Dina.",Monica,neutral,neutral,23,7,3,11,1900-01-01 00:10:28.377,1900-01-01 00:10:30.420,2.043,5
246,"You see you cant tell which one is which either, dwha!!",Chandler,surprise,negative,23,8,3,11,1900-01-01 00:10:30.588,1900-01-01 00:10:44.809,14.221,11
247,"I dont know, you thought See you Saturday was funny.",Rachel,neutral,neutral,24,0,3,14,1900-01-01 00:10:40.389,1900-01-01 00:10:44.059,3.67,10
248,"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.",Rachel,neutral,neutral,24,1,3,14,1900-01-01 00:10:44.727,1900-01-01 00:10:49.397,4.67,19
249,You guys would never want to go to a lecture with me.,Rachel,neutral,neutral,24,2,3,14,1900-01-01 00:10:49.565,1900-01-01 00:10:51.483,1.918,12
250,Pa-haa!! I would love to go with you.,Ross,joy,positive,24,3,3,14,1900-01-01 00:10:54.987,1900-01-01 00:10:56.571,1.584,8
252,"Yeah, hey I-I have clothes, I even pick them out.",Ross,neutral,neutral,24,5,3,14,1900-01-01 00:10:58.032,1900-01-01 00:11:01.660,3.628,10
253,"I mean for, for all you know I could be a fashion..... monger.",Ross,neutral,neutral,24,6,3,14,1900-01-01 00:11:01.827,1900-01-01 00:11:05.121,3.294,13
254,"Okay. Honey, I would love for you to go with me.  What?",Rachel,joy,positive,24,7,3,14,1900-01-01 00:11:11.379,1900-01-01 00:11:15.256,3.877,12
255,"What should I wear, now Im all nervous.",Ross,fear,negative,24,8,3,14,1900-01-01 00:11:15.549,1900-01-01 00:11:19.969,4.42,8
256,": I know, we did it!! Hey, that was incredible, huh?!",Mr. Treeger,joy,positive,25,0,4,4,1900-01-01 00:20:36.693,1900-01-01 00:20:40.321,3.628,11
257,"I know, it was amazing! I mean, we totally nailed it, it was beautiful.",Joey,joy,positive,25,1,4,4,1900-01-01 00:20:40.572,1900-01-01 00:20:44.075,3.503,14
258,": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.",Mr. Treeger,joy,positive,25,2,4,4,1900-01-01 00:20:44.284,1900-01-01 00:20:51.916,7.632,24
259,"Oh well, okay, good luck.",Joey,joy,positive,25,3,4,4,1900-01-01 00:20:52.459,1900-01-01 00:20:56.462,4.003,5
261,Unless you wanna practice the Foxtrot again? Or-or the Tango?,Joey,neutral,neutral,25,5,4,4,1900-01-01 00:20:56.713,1900-01-01 00:21:00.716,4.003,10
262,": Ahh, thanks but no. You see I-I think Im ready to dance with girls.",Mr. Treeger,neutral,neutral,25,6,4,4,1900-01-01 00:21:01.093,1900-01-01 00:21:09.350,8.257,15
265,Go get em Treeger.,Joey,neutral,neutral,25,9,4,4,1900-01-01 00:21:09.601,1900-01-01 00:21:11.852,2.251,4
266,": Right.  Hey, ahh, you wanna come? Marge has a girlfriend.",Mr. Treeger,neutral,neutral,25,10,4,4,1900-01-01 00:21:16.275,1900-01-01 00:21:19.860,3.585,11
268,": Yeah, you could dance real good with her, shes the same size as me.",Mr. Treeger,neutral,neutral,25,12,4,4,1900-01-01 00:21:22.364,1900-01-01 00:21:24.991,2.627,15
270,"Oh God, this is so nerve wracking! How-how do you do this?",Ross,surprise,negative,26,0,5,18,1900-01-01 00:09:41.414,1900-01-01 00:09:44.958,3.544,12
271,"Well, unfortunately, I don't get many callbacks so",Joey,neutral,neutral,26,1,5,18,1900-01-01 00:09:45.126,1900-01-01 00:09:48.128,3.002,8
272,Is it a good sign that they asked us to hang around after the audition?,Carol,surprise,positive,26,2,5,18,1900-01-01 00:09:49.046,1900-01-01 00:09:51.715,2.669,15
274,"Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much.",The Casting Director,neutral,neutral,26,4,5,18,1900-01-01 00:09:55.219,1900-01-01 00:10:02.976,7.757,21
275,Yes!! I knew it!!  Bye-bye! So long! Later!,Ross,joy,positive,26,5,5,18,1900-01-01 00:10:03.144,1900-01-01 00:10:13.403,10.259,8
276,Oh this is great! I might actually get to play Ben's dad!,Joey,joy,positive,26,6,5,18,1900-01-01 00:10:15.281,1900-01-01 00:10:17.824,2.543,12
